partyid	lifetime_party_revenue
43947923	282.55
42733311	2.95
47186576	2.95
30557827	4.95
50921278	142.75
63868076	1.95
73540640	1.95
36588857	3.95
38371224	2.95
74104704	2.95
76501586	1.95
83978683	2.95
39501740	2.95
60654906	38.9
56861336	2.95
81519926	1.95
59883667	11.9
22694283	4.95
31630442	179.7
28224594	74.85
76450981	1.95
70097859	1.95
81101049	1.95
87550076	1.95
76853028	1.95
85983369	2.95
70142618	280.55
24953529	4.95
33144638	39.9
59501041	36.9
67579403	2.95
20714258	4.95
37375217	43.85
47181151	2.95
61611451	200.95
86996325	1.95
81545959	1.95
32873751	4.95
64273693	1.95
28061253	4.95
37294730	38.9
36355330	41.15
63988597	1.95
31952514	4.95
44356871	2.95
53974495	2.95
68751929	1.95
45761510	2.95
30710933	42.28
36103864	14.14
72054937	43.7
65217934	2.95
89458434	2.95
39640483	107.8
80015099	41.75
31986991	284.55
31875561	4.95
78777105	1.95
48024005	2.95
73588214	2.95
37915423	17.85
77670570	41.75
47220585	3.95
48403480	2.95
33121213	3.95
53781905	1.95
58887467	1.95
83241136	1.95
22729893	4.95
36973255	3.95
58326411	6.31
49422592	37.9
40440710	37.9
43742516	38.9
53635716	2.95
62470046	2.95
11309568	284.55
57513521	1.95
70376371	1.95
16483055	144.75
48227198	2.95
48627692	72.85
72663793	36.8
53227230	1
40260839	2.95
73569416	1.95
84448089	1.95
43269568	3.95
51554069	2.95
67260544	2.95
73006051	41.75
80878017	2.95
79082365	1.95
34559952	4.95
46390579	2.95
35478587	1.95
75931737	0
42255230	7.9
60061625	1.95
61268069	1.95
31465719	4.95
58596574	1.95
28851446	44.56
31380423	4.95
75038458	1.95
42220637	3.95
43983789	2.95
33141082	5.9
45721533	3.95
38019254	144.75
49862275	2.95
74696363	1.95
31168699	37.9
30691680	74.85
73664674	4.9
33987528	109.8
34951009	4.95
81814817	1.95
50719817	3.95
40072928	3.95
36208700	11.05
66761173	1.95
84930802	2.95
40905585	2.95
50162796	2.95
55221591	2.95
43417830	72.85
72066916	161.15
45892764	2.95
69552917	1.95
37940107	73.85
73490060	40.7
46392895	2.95
45874190	2.95
72924817	1.95
41901871	3.95
46615129	37.9
32769955	4.95
64521856	36.9
62133536	4.55
78108067	200.95
43065276	3.95
40480322	2.95
69186401	1.95
24962298	9.9
31635039	4.95
76389764	2.95
56731987	73.85
70531101	1.95
53082634	439.75
53641362	107.8
86245783	2.95
40836092	2.95
49853866	3.95
52080325	2.95
66315119	1.95
41220189	2.95
75963396	43.12
77698384	1.95
56207253	1
25478585	1.95
59508243	1.95
25345899	4.95
32568198	39.9
51024891	2.95
52680362	1.95
40249097	37.9
66868008	1.95
28253431	2.95
77181423	1.95
54416994	72.85
73709778	4.9
48009058	38.9
33219180	4.95
22421806	4.95
78333257	34.95
81102814	81.55
28420926	39.9
74147868	41.75
54667162	248.6
52014139	178.7
48986202	2.95
49818032	3.95
35604025	4.95
81907011	1.95
56890728	95.4
52120516	2.95
48247706	2.95
71743248	9.06
32599556	24.85
57176324	3.95
82963680	1.95
60666080	3.95
39543438	37.9
62650949	2.95
76673017	11.75
84265485	4.57
40915460	3.95
65335550	2.95
71884049	110.35
79496273	81.55
25289440	4.95
37070640	4.95
48946480	142.75
44192114	3.95
77222808	41.75
28242071	74.85
74341733	2.95
73797075	4.9
85027665	1.95
63201649	2.95
69249142	1.95
67374050	118.45
60552002	1.95
54750300	439.75
26651066	4.95
26155232	1.95
57316114	2.95
31477649	74.85
86951756	2.95
25928951	39.9
89437463	1.95
78996317	1.95
53985954	3.95
32500130	2.95
37984545	39.9
34251090	4.95
45588735	2.95
64682103	1.95
25329026	109.8
50971896	2.95
45641174	41.75
25420057	4.95
41503086	2.95
38878929	2.95
37462200	144.75
76943442	1.95
33575022	8.06
54921908	2.95
35146715	6.9
75531464	1.95
60002215	44.7
69883458	38.75
48385207	37.9
24979044	4.95
45394837	37.9
90331474	2.95
83119367	1.95
83466396	1.95
20854109	4.95
15670539	38.75
50991182	3.95
76997789	1.95
49437058	108.8
59271708	186.4
71405836	47.44
26042128	11.71
47823540	283.55
50372663	3.95
65710111	0.95
68925581	41.75
63719667	2.95
40269996	2.95
26685256	4.95
22615234	4.95
89027109	2.95
76559057	41.75
32312772	4.95
57674699	1.95
74635623	2.95
44790496	3.95
43546860	2.95
52541446	5.9
41651072	38.9
31025288	4.95
55011251	2.95
82960411	2.95
44509873	72.85
45212201	4.89
63924453	1.95
67663631	41.75
81621495	1.95
69553955	2.95
72976380	1.95
73019599	2.95
74345306	83.5
46386840	38.75
48187566	37.9
51380970	3.95
78928814	74.55
67240280	1.95
57591283	1.95
72406034	1.95
77246343	74.55
49227988	37.9
81758077	41.75
48949177	2.95
39771781	2.95
77287316	1.95
34926944	39.9
51305130	2.95
36319816	3.95
13047622	3.95
21606382	4.95
36503989	3.95
25820293	4.95
57868249	95.4
39413933	2.95
65147598	0.95
28054425	38.9
78634653	1.95
82854640	1.95
33317393	4.95
60774106	1.95
65714228	1.95
88488936	2.95
49460482	1.95
71531653	2.95
83878621	1.95
46577014	37.9
79900253	146.15
75354267	2.95
70771964	1.95
71909240	2.95
52618740	38.75
21720074	74.85
28463241	109.8
37058363	73.85
9977464	41.75
33665299	4.95
68875659	1.95
48965282	2.95
53586323	37.9
24568327	4.95
56727527	3.95
60329839	143.75
79771419	1
33637693	4.95
53383245	3.95
45855967	2.95
45993396	2.95
37598086	3.95
51173527	37.9
65250735	47.15
35615488	4.95
61769623	360.15
30126429	39.9
24329206	4.95
55996769	2.95
38118614	2.95
51107260	2.95
80732580	74.55
37202152	108.8
50691008	352.45
4492803	4.95
29612938	4.95
68774776	1.95
41577757	37.9
80853987	2.95
832927	4.95
39018533	2.95
38389021	37.9
43194228	2.95
40708271	2.95
28796315	3.95
76779347	1.95
58718767	41.75
23042700	4.95
53391436	6.9
57769946	1.95
77614139	1.95
34882669	2.95
9782538	179.7
40390126	3.95
57231063	1.95
2734817	214.65
69859871	81.55
59154880	1.95
21327519	2.95
44587636	2.95
12235639	1.95
59351898	8.9
64125694	2.95
35616188	5.95
43382571	2.95
22734754	4.95
39153598	38.9
56814362	2.95
63262170	1.95
70466242	1.95
73961189	38.75
52827728	3.95
58820477	1.95
19692246	11.94
26466896	39.9
67010129	1.95
24335412	4.95
39681699	37.9
60708666	1.95
16222629	109.8
68537386	1.95
39432678	5.9
21453353	4.95
23018165	283.55
58918692	1.95
31527756	4.95
43591515	2.95
35060893	39.9
74184744	1.95
25987272	284.55
31579014	4.95
49831262	37.9
33578805	4.95
83320160	1.95
73462371	2.95
67051365	1.95
41094010	72.85
41218139	3.95
75516740	2.95
65965114	44.7
30541105	6.11
44074694	3.95
38677015	2.95
25679720	39.9
86551805	2.95
61213523	1.95
65162679	40.75
28612762	7.2
20635085	39.9
50651570	5.9
38618337	3.95
73490709	2.95
60369444	1.95
64235355	2.95
29435612	39.9
64863067	38.75
31691379	4.95
52353421	2.95
40552849	108.8
55876125	37.9
57616622	1.95
60091441	3.95
80552141	161.15
79634915	41.75
28655123	4.95
57234374	2.95
31661494	4.95
61047660	1.95
53055659	2.95
70080932	1.95
74312705	3.3
39924080	2.95
88164336	2.95
20630555	354.45
23216653	4.95
88586083	2.95
86060025	2.95
88707451	1.95
28849294	109.8
27705301	43.85
46233903	3.95
34897333	2.95
42334939	2.95
71426672	2.95
27094196	4.95
55723881	2.95
25807895	4.95
51820256	95.4
79799776	81.55
38711461	2.95
8573017	1.95
26537456	7.9
48953119	37.9
44618191	72.85
32124519	74.85
80017365	1.95
74694597	110.35
47537795	38.9
22052584	43.28
87785838	1.95
66933424	121.35
45813831	2.95
71745584	25.9
40803611	3.95
37868237	38.9
43265797	37.9
41416212	107.8
40469861	6.9
46804257	6.9
67469649	280.55
60175804	1
70869467	84.35
64059491	1.95
42775853	3.95
55292149	37.9
66263445	40.75
85509993	1.95
53298873	2.95
44814787	2.95
24288609	4.95
79548546	1.95
61810944	41.75
62853885	1.95
52337032	37.9
44355858	2.95
56217791	3.95
23892957	4.95
79186081	1.95
78984503	38.75
89865595	1.95
43173559	2.95
73930219	1.95
31482902	74.85
71567707	1.95
70264279	2.95
56875649	141.75
38453101	2.95
59415024	1.95
65923766	200.95
64871987	1
40677004	2.95
75159204	161.15
73741659	2.95
38363391	2.95
73056695	2.95
53827362	2.95
16302688	214.65
65280717	2.95
52934687	72.85
11950809	4.95
21776488	85.5
36082125	3.95
86531043	2.95
49956001	4.95
17661931	4.95
55589083	3.95
37776517	3.95
56026190	1.95
71882341	1.95
82775791	2.95
42763887	1.95
22718891	4.95
51812737	2.95
62294439	2.95
30262669	4.95
88642663	1.95
31931574	4.95
50097431	37.9
50230241	3.95
83924749	2.95
39467669	12.23
